## utf-8


分类          | 模块         | 子模块/子程序       | 文件类型   | 功能说明                                                                                        | 程序位置                            | 是否修改                   | 是否基于开源 | 备注   | 开发编译环境 | 负责人 | 备注
界面绘图      | 界面绘图包   | splash.dll          | 动态库     | 程序启动时对“欢迎”之类的闪屏动作处理                                                            | smmi\component\splash               | 帮助修改                   |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | switchcmc.dll       | 动态库     | 主备中心切换动态库                                                                              | smmi\component\switchcmc            |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | wslib.dll           | 动态库     | 绘图包工程                                                                                      | smmi\component\wslib                |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | xlxzplugin.dll      | 动态库     | 序列执行表格                                                                                    | smmi\component\xlxzplugin           |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | xmlcimd.dll         | 动态库     | xml分析处理模块                                                                                 | smmi\component\xmlcim               |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | automapping.dll     | 动态库     | 自动生成潮流图模块                                                                              | smmi\graph\automapping              |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | connectdf.dll       | 动态库     | 连接关系处理模块                                                                                | smmi\graph\connect                  |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | dbf_dev.dll         | 动态库     | "图元库参数设置模块（设备、光字牌、遥测遥信等）"                                                | smmi\graph\dbf_dev                  | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | expression.dll      | 动态库     | 表达式处理模块                                                                                  | smmi\graph\expression               |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | formulaparser.dll   | 动态库     | 公式编辑器（用于对曲线数值的修正）                                                              | smmi\graph\formulaparser            |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | graphconfig.dll     | 动态库     | 界面设置模块（控制设置、可视化设置、画面关联、设备颜色设置）                                    | smmi\graph\graphconfig              |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | graphmark.dll       | 动态库     | 挂、摘牌设置，设备注释信息，设备自定义信息，旁路替代信息模块                                    | smmi\graph\graphmark                | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | grapahoper.dll      | 动态库     | 创建调度员界面菜单、工具栏类模块（动态加载库）                                                  | smmi\graph\graphoper                | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | overvandmag.dll     | 动态库     | 导游图、放大镜窗口类模块                                                                        | smmi\graph\overvandmag              |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | painter_db.dll      | 动态库     | 创建设备ID的界面应用库                                                                          | smmi\graph\painter_db               |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | spaint              | 可执行程序 | 绘图包应用程序                                                                                  | smmi\graph\qtpainter                |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | qtpainterdll.dll    | 动态库     | 绘图包动态库模块（绘图包的各种操作）                                                            | smmi\graph\qtpainter\lib            | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | qtxpaint.dll        | 动态库     | 图形包（所有的图元类）                                                                          | smmi\graph\qtxpaint                 | 修改                       |              |        | C++          | 张德志 |
